"","irr_frac","simulation","design","nsim","dose","sd"
"109","0.5","np","qI50","10000","4",0.238690628189979
"110","0.5","np","qI500","10000","4",0.242395678866753
"111","0.5","np","classical","10000","5",0.277565864002496
"112","0.5","np","qca1","10000","5",0.249848492050221
"113","0.5","np","qD","10000","5",0.238253902428493
"114","0.5","np","qI50","10000","5",0.240652669126644
"115","0.5","np","qI500","10000","5",0.239684219111384
"116","0.25","np","classical","10000","2",0.655809265041844
"117","0.25","np","qca1","10000","2",0.636954185386149
"118","0.25","np","qD","10000","2",0.632050024880865
"119","0.25","np","qI50","10000","2",0.62963477605651
"120","0.25","np","qI500","10000","2",0.629339139198649
"121","0.25","np","classical","10000","3",0.7197689417195
"122","0.25","np","qca1","10000","3",0.697112083747756
"123","0.25","np","qD","10000","3",0.686251223020722
"124","0.25","np","qI50","10000","3",0.6863668848782
"125","0.25","np","qI500","10000","3",0.689595133198052
"126","0.25","np","classical","10000","4",0.435047847785749
"127","0.25","np","qca1","10000","4",0.414014701448277
"128","0.25","np","qD","10000","4",0.410623322191847
"129","0.25","np","qI50","10000","4",0.403808563105474
"130","0.25","np","qI500","10000","4",0.405588778302912
"131","0.25","np","classical","10000","5",0.454715897700049
"132","0.25","np","qca1","10000","5",0.419159643740769
"133","0.25","np","qD","10000","5",0.412536323221723
"134","0.25","np","qI50","10000","5",0.413780957908529
"135","0.25","np","qI500","10000","5",0.412944498058404
"136","0.125","np","classical","10000","2",0.772323122094325
"137","0.125","np","qca1","10000","2",0.761374376900806
"138","0.125","np","qD","10000","2",0.761048689903086
"139","0.125","np","qI50","10000","2",0.75230658670989
"140","0.125","np","qI500","10000","2",0.748190715126603
"141","0.125","np","classical","10000","3",0.810358629870372
"142","0.125","np","qca1","10000","3",0.775875272322202
"143","0.125","np","qD","10000","3",0.778008124920394
"144","0.125","np","qI50","10000","3",0.770313126323739
"145","0.125","np","qI500","10000","3",0.766130755296708
"146","0.125","np","classical","10000","4",0.537537787383546
"147","0.125","np","qca1","10000","4",0.516051017843041
"148","0.125","np","qD","10000","4",0.497448734130131
"149","0.125","np","qI50","10000","4",0.509175374714618
"150","0.125","np","qI500","10000","4",0.505375708004116
"151","0.125","np","classical","10000","5",0.743170864794224
"152","0.125","np","qca1","10000","5",0.712633925511185
"153","0.125","np","qD","10000","5",0.684173492169739
"154","0.125","np","qI50","10000","5",0.696012667535754
"155","0.125","np","qI500","10000","5",0.691113410936492
"156","1","p","ca1","10000","0",0.0267882849236919
"157","1","p","classical","10000","0",0.0255818090382082
"158","1","p","D","10000","0",0.026100810167237
"159","1","p","I50","10000","0",0.0274161351553769
"160","1","p","I500","10000","0",0.0279450455519773
"161","1","p","ca1","10000","0.1",0.0660788425063101
"162","1","p","classical","10000","0.1",0.0661008681368268
"163","1","p","D","10000","0.1",0.0655881327830188
"164","1","p","I50","10000","0.1",0.0668862223862878
"165","1","p","I500","10000","0.1",0.0669030009202205
"166","1","p","ca1","10000","0.25",0.0834130480254544
"167","1","p","classical","10000","0.25",0.0837259839678502
"168","1","p","D","10000","0.25",0.0837143359182667
"169","1","p","I50","10000","0.25",0.0829471713834298
"170","1","p","I500","10000","0.25",0.0845211000205785
"171","1","p","ca1","10000","0.5",0.089300772680638
"172","1","p","classical","10000","0.5",0.0901371454266786
"173","1","p","D","10000","0.5",0.091384518247655
"174","1","p","I50","10000","0.5",0.0909107096365791
"175","1","p","I500","10000","0.5",0.0903650300912062
"176","1","p","ca1","10000","0.75",0.0927473494603565
"177","1","p","classical","10000","0.75",0.0928776990520449
"178","1","p","D","10000","0.75",0.0939505659490254
"179","1","p","I50","10000","0.75",0.0924495164049898
"180","1","p","I500","10000","0.75",0.0924746425249939
"181","1","p","ca1","10000","1",0.0939374318094417
"182","1","p","classical","10000","1",0.0951575517524502
"183","1","p","D","10000","1",0.0952494637535268
"184","1","p","I50","10000","1",0.0927035440133754
"185","1","p","I500","10000","1",0.09459627585678
"186","1","p","ca1","10000","1.5",0.0952760116483111
"187","1","p","classical","10000","1.5",0.0970961420255492
"188","1","p","D","10000","1.5",0.0952781972292111
"189","1","p","I50","10000","1.5",0.0939939346132477
"190","1","p","I500","10000","1.5",0.0951044372494569
"191","1","p","ca1","10000","2",0.0955049782096889
"192","1","p","classical","10000","2",0.101730755019137
"193","1","p","D","10000","2",0.0956751806432998
"194","1","p","I50","10000","2",0.0946271289024404
"195","1","p","I500","10000","2",0.095378575322628
"196","1","p","ca1","10000","3",0.0966303618612419
"197","1","p","classical","10000","3",0.115353295386848
"198","1","p","D","10000","3",0.0953230294048133
"199","1","p","I50","10000","3",0.0946711874995194
"200","1","p","I500","10000","3",0.0955121364816023
"201","1","p","ca1","10000","4",0.0992944715165306
"202","1","p","classical","10000","4",0.135114355039423
"203","1","p","D","10000","4",0.0966143884358248
"204","1","p","I50","10000","4",0.0959410366380875
"205","1","p","I500","10000","4",0.0957953589460082
"206","1","p","ca1","10000","5",0.104208184687699
"207","1","p","classical","10000","5",0.161864425114668
"208","1","p","D","10000","5",0.0968888183246503
"209","1","p","I50","10000","5",0.0973838061828713
"210","1","p","I500","10000","5",0.0965677636704057
"211","0.875","p","ca1","10000","0",0.0363227193460452
"212","0.875","p","classical","10000","0",0.044143903166773
"213","0.875","p","D","10000","0",0.0752534813317327
"214","0.875","p","I50","10000","0",0.0830823273432684
"215","0.875","p","I500","10000","0",0.0751438814829325
"216","0.875","p","ca1","10000","0.1",0.242440875023215
"217","0.875","p","classical","10000","0.1",0.228001328990498
"218","0.875","p","D","10000","0.1",0.242240692853732
"219","0.875","p","I50","10000","0.1",0.230762947492899
"220","0.875","p","I500","10000","0.1",0.27596878452163
"221","0.875","p","ca1","10000","0.25",0.36591943254074
"222","0.875","p","classical","10000","0.25",0.364225810205679
"223","0.875","p","D","10000","0.25",0.361685589759355
"224","0.875","p","I50","10000","0.25",0.382328136336695
"225","0.875","p","I500","10000","0.25",0.36867801521891
"226","0.875","p","ca1","10000","0.5",0.408359729389694
"227","0.875","p","classical","10000","0.5",0.399195760171865
"228","0.875","p","D","10000","0.5",0.402542195749743
"229","0.875","p","I50","10000","0.5",0.403960593136392
"230","0.875","p","I500","10000","0.5",0.405339854322871
"231","0.875","p","ca1","10000","0.75",0.320075340419494
"232","0.875","p","classical","10000","0.75",0.328405403737459
"233","0.875","p","D","10000","0.75",0.327114414009731
"234","0.875","p","I50","10000","0.75",0.330049814769927
"235","0.875","p","I500","10000","0.75",0.329161122330119
"236","0.875","p","ca1","10000","1",0.292653733347408
"237","0.875","p","classical","10000","1",0.291414580769624
"238","0.875","p","D","10000","1",0.291090422165901
"239","0.875","p","I50","10000","1",0.290023829146399
"240","0.875","p","I500","10000","1",0.288001662825546
"241","0.875","p","ca1","10000","1.5",0.261515147033809
"242","0.875","p","classical","10000","1.5",0.261015081414833
"243","0.875","p","D","10000","1.5",0.258999214198748
"244","0.875","p","I50","10000","1.5",0.262058311077492
"245","0.875","p","I500","10000","1.5",0.256538231216713
"246","0.875","p","ca1","10000","2",0.245007167025673
"247","0.875","p","classical","10000","2",0.244657677834733
"248","0.875","p","D","10000","2",0.24476180080707
"249","0.875","p","I50","10000","2",0.243851659772994
"250","0.875","p","I500","10000","2",0.243086984963959
"251","0.875","p","ca1","10000","3",0.20843453359405
"252","0.875","p","classical","10000","3",0.220825915106952
"253","0.875","p","D","10000","3",0.209581629234522
"254","0.875","p","I50","10000","3",0.208278284571114
"255","0.875","p","I500","10000","3",0.209641961742711
"256","0.875","p","ca1","10000","4",0.179098480700182
"257","0.875","p","classical","10000","4",0.201461403438613
"258","0.875","p","D","10000","4",0.177068131678241
"259","0.875","p","I50","10000","4",0.176399251955066
"260","0.875","p","I500","10000","4",0.174882095581234
"261","0.875","p","ca1","10000","5",0.166375398319769
"262","0.875","p","classical","10000","5",0.209070103639827
"263","0.875","p","D","10000","5",0.162897581137071
"264","0.875","p","I50","10000","5",0.160924130621724
